algo,n,dist,trial,time_ms,comparisons,array_accesses,assignments,allocations
kadane,1000,random,1,0.131084,2997,1001,1197,0
kadane,1000,random,2,0.1295,2997,1001,1200,0
kadane,1000,random,3,0.082458,2997,1001,1229,0
kadane,10000,random,1,1.370042,29997,10001,10695,0
kadane,10000,random,2,0.798083,29997,10001,10719,0
kadane,10000,random,3,0.617041,29997,10001,10558,0
kadane,10000,random,1,1.179125,29997,10001,10695,0
kadane,10000,random,2,0.590666,29997,10001,10719,0
kadane,10000,random,3,0.625791,29997,10001,10558,0
kadane,10000,random,1,0.768458,29997,10001,10695,0
kadane,10000,random,2,0.556541,29997,10001,10719,0
kadane,10000,random,3,0.556125,29997,10001,10558,0
kadane,10000,random,1,1.148833,29997,10001,10695,0
kadane,10000,random,2,0.5585,29997,10001,10719,0
kadane,10000,random,3,0.555625,29997,10001,10558,0
kadane,10000,random,1,0.807458,29997,10001,10695,0
kadane,10000,random,2,0.563,29997,10001,10719,0
kadane,10000,random,3,0.55475,29997,10001,10558,0
kadane,10000,random,1,0.768375,29997,10001,10695,0
kadane,10000,random,2,0.727,29997,10001,10719,0
kadane,10000,random,3,0.559291,29997,10001,10558,0
